Airline,Source,Destination,Duration,Total stops,Price,Date
Iberia,DUB,IBZ,300,1,480,2023-12-26
"Aer Lingus, Air Europa",DUB,IBZ,1840,2,283,2023-12-26
British Airways,DUB,IBZ,300,1,545,2023-12-26
Vueling,DUB,IBZ,435,1,458,2023-12-26
"Aer Lingus, Vueling",DUB,IBZ,340,1,466,2023-12-26
Vueling,DUB,IBZ,300,1,651,2023-12-26
"Aer Lingus, Vueling",DUB,IBZ,400,1,505,2023-12-26
"British Airways, Iberia",DUB,IBZ,505,2,558,2023-12-26
"British Airways, Iberia",DUB,IBZ,535,2,561,2023-12-26
"British Airways, Iberia",DUB,IBZ,535,2,561,2023-12-26
"British Airways, Iberia",DUB,IBZ,565,2,558,2023-12-26
"British Airways, Iberia",DUB,IBZ,565,2,558,2023-12-26
"British Airways, Iberia",DUB,IBZ,575,2,559,2023-12-26
"British Airways, Iberia",DUB,IBZ,575,2,564,2023-12-26
"British Airways, Iberia",DUB,IBZ,505,2,714,2023-12-26
"Aer Lingus, Vueling",DUB,IBZ,385,2,703,2023-12-26
"Aer Lingus, Air Europa",DUB,IBZ,345,1,475,2023-12-27
"Iberia Express, Air Europa",DUB,IBZ,2170,2,329,2023-12-27
Vueling,DUB,IBZ,395,1,563,2023-12-27
Iberia,DUB,IBZ,520,1,466,2023-12-27
"Aer Lingus, Vueling",DUB,IBZ,340,1,545,2023-12-27
"Vueling, Iberia",DUB,IBZ,405,2,437,2023-12-27
Vueling,DUB,IBZ,465,1,550,2023-12-27
"British Airways, Iberia",DUB,IBZ,535,2,510,2023-12-27
"Aer Lingus, Vueling",DUB,IBZ,355,1,658,2023-12-27
"Aer Lingus, Vueling",DUB,IBZ,400,1,590,2023-12-27
"British Airways, Iberia",DUB,IBZ,565,2,512,2023-12-27
"British Airways, Iberia",DUB,IBZ,575,2,513,2023-12-27
Iberia,DUB,IBZ,750,1,346,2023-12-27
Multiple Airlines,DUB,IBZ,520,2,428,2023-12-27
"Aer Lingus, Vueling",DUB,IBZ,575,2,396,2023-12-27
Multiple Airlines,DUB,IBZ,590,2,398,2023-12-27
Iberia,DUB,IBZ,300,1,387,2023-12-28
Multiple Airlines,DUB,IBZ,2175,2,247,2023-12-28
British Airways,DUB,IBZ,300,1,488,2023-12-28
Vueling,DUB,IBZ,375,1,398,2023-12-28
"Aer Lingus, Vueling",DUB,IBZ,305,1,491,2023-12-28
Iberia,DUB,IBZ,540,1,387,2023-12-28
"Aer Lingus, Air Europa",DUB,IBZ,345,1,508,2023-12-28
"Aer Lingus, Vueling",DUB,IBZ,340,1,466,2023-12-28
Vueling,DUB,IBZ,520,1,377,2023-12-28
Iberia,DUB,IBZ,520,1,462,2023-12-28
Vueling,DUB,IBZ,300,1,696,2023-12-28
Multiple Airlines,DUB,IBZ,455,2,409,2023-12-28
"Aer Lingus, Vueling",DUB,IBZ,400,1,505,2023-12-28
"British Airways, Iberia",DUB,IBZ,505,2,510,2023-12-28
"British Airways, Iberia",DUB,IBZ,535,2,512,2023-12-28
"Aer Lingus, Vueling",DUB,IBZ,470,2,445,2023-12-28
"Aer Lingus, Vueling",DUB,IBZ,305,1,431,2023-12-29
Multiple Airlines,DUB,IBZ,1535,2,325,2023-12-29
Vueling,DUB,IBZ,380,1,510,2023-12-29
"Aer Lingus, Vueling",DUB,IBZ,315,1,491,2023-12-29
"Aer Lingus, Air Europa",DUB,IBZ,345,1,560,2023-12-29
Iberia,DUB,IBZ,515,1,462,2023-12-29
"Aer Lingus, Iberia",DUB,IBZ,475,2,376,2023-12-29
"Aer Lingus, Vueling",DUB,IBZ,390,1,466,2023-12-29
"Vueling, Iberia",DUB,IBZ,470,2,390,2023-12-29
"British Airways, Iberia",DUB,IBZ,530,2,510,2023-12-29
"Vueling, Transavia France",DUB,IBZ,470,2,435,2023-12-29
"Aer Lingus, Iberia",DUB,IBZ,570,2,353,2023-12-29
"Aer Lingus, Vueling",DUB,IBZ,490,2,430,2023-12-29
"British Airways, Iberia",DUB,IBZ,560,2,512,2023-12-29
"British Airways, Iberia",DUB,IBZ,570,2,513,2023-12-29
"British Airways, Iberia",DUB,IBZ,565,2,558,2023-12-29
Vueling,DUB,IBZ,435,1,318,2023-12-30
Multiple Airlines,DUB,IBZ,2810,2,178,2023-12-30
"Aer Lingus, Vueling",DUB,IBZ,305,1,431,2023-12-30
"Aer Lingus, Vueling",DUB,IBZ,365,1,409,2023-12-30
Iberia,DUB,IBZ,520,1,406,2023-12-30
Iberia,DUB,IBZ,520,1,462,2023-12-30
British Airways,DUB,IBZ,520,1,488,2023-12-30
"Aer Lingus, Vueling",DUB,IBZ,475,1,417,2023-12-30
"British Airways, Iberia",DUB,IBZ,505,2,510,2023-12-30
"Vueling, Iberia",DUB,IBZ,410,2,532,2023-12-30
"British Airways, Iberia",DUB,IBZ,540,2,512,2023-12-30
"Aer Lingus, Vueling",DUB,IBZ,470,2,487,2023-12-30
"Aer Lingus, Vueling",DUB,IBZ,490,2,484,2023-12-30
"British Airways, Iberia",DUB,IBZ,565,2,510,2023-12-30
"British Airways, Iberia",DUB,IBZ,540,2,558,2023-12-30
"British Airways, Iberia",DUB,IBZ,550,2,558,2023-12-30
Vueling,DUB,IBZ,345,1,135,2023-12-31
"Iberia Express, Air Europa",DUB,IBZ,1090,1,115,2023-12-31
Iberia,DUB,IBZ,345,1,395,2023-12-31
Iberia,DUB,IBZ,1005,1,142,2023-12-31
Multiple Airlines,DUB,IBZ,860,2,142,2023-12-31
Vueling,DUB,IBZ,1010,1,148,2023-12-31
"Aer Lingus, Vueling",DUB,IBZ,565,2,310,2023-12-31
Iberia Express,DUB,IBZ,1005,1,131,2023-12-31
"Iberia Express, Iberia",DUB,IBZ,1005,1,133,2023-12-31
"Iberia, Air Europa",DUB,IBZ,1090,1,123,2023-12-31
"Iberia, Iberia Express",DUB,IBZ,1005,1,139,2023-12-31
Vueling,DUB,IBZ,1005,1,199,2023-12-31
"Aer Lingus, Vueling",DUB,IBZ,945,2,179,2023-12-31
Multiple Airlines,DUB,IBZ,770,3,257,2023-12-31
"TAP AIR PORTUGAL, Vueling",DUB,IBZ,665,2,327,2023-12-31
KLM,DUB,IBZ,935,1,269,2024-01-01
Vueling,DUB,IBZ,420,1,150,2024-01-01
"Aer Lingus, Eurowings",DUB,IBZ,565,1,108,2024-01-01
Multiple Airlines,DUB,IBZ,445,2,179,2024-01-01
"Aer Lingus, Air Europa",DUB,IBZ,345,1,251,2024-01-01
"Aer Lingus, Vueling",DUB,IBZ,445,2,189,2024-01-01
Vueling,DUB,IBZ,550,1,195,2024-01-01
"Aer Lingus, Vueling",DUB,IBZ,340,1,269,2024-01-01
"Aer Lingus, Vueling",DUB,IBZ,605,2,171,2024-01-01
Multiple Airlines,DUB,IBZ,605,2,179,2024-01-01
Vueling,DUB,IBZ,740,1,180,2024-01-01
"Aer Lingus, Vueling",DUB,IBZ,305,1,374,2024-01-01
"TAP AIR PORTUGAL, Vueling",DUB,IBZ,565,2,211,2024-01-01
"British Airways, Iberia",DUB,IBZ,575,2,325,2024-01-01
Iberia,DUB,IBZ,520,1,390,2024-01-01
"British Airways, Iberia",DUB,IBZ,565,2,373,2024-01-01
Iberia,DUB,IBZ,300,1,240,2024-01-02
Vueling,DUB,IBZ,1120,1,130,2024-01-02
Vueling,DUB,IBZ,435,1,150,2024-01-02
British Airways,DUB,IBZ,275,1,377,2024-01-02
"Aer Lingus, Vueling",DUB,IBZ,340,1,283,2024-01-02
Iberia,DUB,IBZ,540,1,286,2024-01-02
British Airways,DUB,IBZ,455,1,453,2024-01-02
Iberia,DUB,IBZ,435,1,471,2024-01-02
"Aer Lingus, British Airways",DUB,IBZ,275,1,611,2024-01-02
Iberia,DUB,IBZ,520,1,462,2024-01-02
"Aer Lingus, Vueling",DUB,IBZ,855,2,174,2024-01-02
"Aer Lingus, Vueling",DUB,IBZ,925,2,174,2024-01-02
"Aer Lingus, Vueling",DUB,IBZ,515,2,467,2024-01-02
Vueling,DUB,IBZ,300,1,663,2024-01-02
British Airways,DUB,IBZ,475,1,599,2024-01-02
Vueling,DUB,IBZ,395,1,114,2024-01-03
Iberia,DUB,IBZ,750,1,72,2024-01-03
"Aer Lingus, Air Europa",DUB,IBZ,345,1,174,2024-01-03
British Airways,DUB,IBZ,275,1,279,2024-01-03
"Aer Lingus, Vueling",DUB,IBZ,340,1,239,2024-01-03
British Airways,DUB,IBZ,750,1,111,2024-01-03
Vueling,DUB,IBZ,540,1,160,2024-01-03
Vueling,DUB,IBZ,730,1,134,2024-01-03
"Aer Lingus, Vueling",DUB,IBZ,400,1,249,2024-01-03
Iberia,DUB,IBZ,395,1,341,2024-01-03
Iberia Express,DUB,IBZ,750,1,121,2024-01-03
Iberia,DUB,IBZ,915,1,132,2024-01-03
"Aer Lingus, Eurowings",DUB,IBZ,565,1,186,2024-01-03
"Iberia Express, Iberia",DUB,IBZ,750,1,126,2024-01-03
"Iberia, Iberia Express",DUB,IBZ,750,1,126,2024-01-03
Vueling,DUB,IBZ,370,1,71,2024-01-04
Vueling,DUB,IBZ,515,1,105,2024-01-04
"Aer Lingus, Air Europa",DUB,IBZ,345,1,140,2024-01-04
Vueling,DUB,IBZ,705,1,93,2024-01-04
Iberia,DUB,IBZ,300,1,257,2024-01-04
KLM,DUB,IBZ,415,1,216,2024-01-04
Iberia Express,DUB,IBZ,300,1,223,2024-01-04
"Iberia, Iberia Express",DUB,IBZ,300,1,227,2024-01-04
British Airways,DUB,IBZ,370,1,241,2024-01-04
Vueling,DUB,IBZ,300,1,275,2024-01-04
British Airways,DUB,IBZ,300,1,328,2024-01-04
Iberia,DUB,IBZ,370,1,279,2024-01-04
"Aer Lingus, Vueling",DUB,IBZ,340,1,253,2024-01-04
Iberia Express,DUB,IBZ,1000,1,99,2024-01-04
"Iberia Express, Iberia",DUB,IBZ,1000,1,100,2024-01-04
KLM,DUB,IBZ,415,1,192,2024-01-05
Vueling,DUB,IBZ,380,1,72,2024-01-05
Vueling,DUB,IBZ,1065,1,60,2024-01-05
"Aer Lingus, Vueling",DUB,IBZ,305,1,137,2024-01-05
"Aer Lingus, Vueling",DUB,IBZ,315,1,132,2024-01-05
"Aer Lingus, Air Europa",DUB,IBZ,345,1,129,2024-01-05
"Aer Lingus, Vueling",DUB,IBZ,390,1,127,2024-01-05
KLM,DUB,IBZ,415,1,192,2024-01-05
KLM,DUB,IBZ,500,1,192,2024-01-05
"Aer Lingus, Vueling",DUB,IBZ,520,1,134,2024-01-05
Iberia Express,DUB,IBZ,1005,1,105,2024-01-05
"Aer Lingus, Iberia Express",DUB,IBZ,515,1,151,2024-01-05
"Aer Lingus, Iberia",DUB,IBZ,515,1,153,2024-01-05
"KLM, Transavia",DUB,IBZ,415,1,238,2024-01-05
"Aer Lingus, Transavia",DUB,IBZ,420,1,240,2024-01-05
Iberia,DUB,IBZ,1005,1,115,2024-01-05
Vueling,DUB,IBZ,435,1,115,2024-01-06
"Aer Lingus, Vueling",DUB,IBZ,1555,2,107,2024-01-06
"Aer Lingus, Air Europa",DUB,IBZ,345,1,132,2024-01-06
SWISS,DUB,IBZ,660,1,153,2024-01-06
Iberia,DUB,IBZ,520,1,237,2024-01-06
SWISS,DUB,IBZ,370,1,367,2024-01-06
SWISS,DUB,IBZ,825,1,132,2024-01-06
Iberia,DUB,IBZ,520,1,272,2024-01-06
"British Airways, Iberia",DUB,IBZ,505,2,168,2024-01-06
Iberia,DUB,IBZ,435,1,370,2024-01-06
"British Airways, Iberia",DUB,IBZ,565,2,168,2024-01-06
Iberia,DUB,IBZ,1005,1,146,2024-01-06
"British Airways, Iberia",DUB,IBZ,575,2,174,2024-01-06
"Aer Lingus, Vueling",DUB,IBZ,720,2,133,2024-01-06
"Aer Lingus, Vueling",DUB,IBZ,870,2,125,2024-01-06
Iberia,DUB,IBZ,1460,1,146,2024-01-06
Aer Lingus,DUB,MAD,155,0,201,2023-12-26
Aer Lingus,DUB,MAD,155,0,201,2023-12-26
Iberia,DUB,MAD,155,0,206,2023-12-26
Iberia Express,DUB,MAD,155,0,208,2023-12-26
Vueling,DUB,MAD,155,0,211,2023-12-26
British Airways,DUB,MAD,155,0,252,2023-12-26
Aer Lingus,DUB,MAD,170,0,473,2023-12-26
Lufthansa,DUB,MAD,355,1,228,2023-12-26
Vueling,DUB,MAD,380,1,241,2023-12-26
"Aer Lingus, Air Europa",DUB,MAD,360,1,252,2023-12-26
British Airways,DUB,MAD,305,1,344,2023-12-26
"British Airways, Iberia",DUB,MAD,305,1,357,2023-12-26
British Airways,DUB,MAD,375,1,303,2023-12-26
"British Airways, Iberia",DUB,MAD,375,1,307,2023-12-26
"Vueling, Air Europa",DUB,MAD,380,1,259,2023-12-26
"Aer Lingus, easyJet",DUB,MAD,315,1,324,2023-12-26
Aer Lingus,DUB,MAD,155,0,201,2023-12-27
Iberia Express,DUB,MAD,155,0,196,2023-12-27
Aer Lingus,DUB,MAD,155,0,201,2023-12-27
Iberia,DUB,MAD,155,0,204,2023-12-27
Vueling,DUB,MAD,155,0,211,2023-12-27
British Airways,DUB,MAD,155,0,252,2023-12-27
Iberia,DUB,MAD,170,0,316,2023-12-27
Aer Lingus,DUB,MAD,170,0,324,2023-12-27
Aer Lingus,DUB,MAD,155,0,359,2023-12-27
British Airways,DUB,MAD,170,0,369,2023-12-27
Iberia,DUB,MAD,155,0,421,2023-12-27
British Airways,DUB,MAD,155,0,476,2023-12-27
"Aer Lingus, Iberia Express",DUB,MAD,365,1,269,2023-12-27
"Aer Lingus, Iberia Express",DUB,MAD,435,1,269,2023-12-27
"Aer Lingus, Iberia",DUB,MAD,435,1,280,2023-12-27
"British Airways, Iberia",DUB,MAD,360,1,360,2023-12-27
Aer Lingus,DUB,MAD,155,0,251,2023-12-28
Iberia,DUB,MAD,170,0,159,2023-12-28
Iberia,DUB,MAD,155,0,177,2023-12-28
Iberia Express,DUB,MAD,155,0,230,2023-12-28
Vueling,DUB,MAD,155,0,244,2023-12-28
Aer Lingus,DUB,MAD,155,0,251,2023-12-28
British Airways,DUB,MAD,155,0,290,2023-12-28
Aer Lingus,DUB,MAD,170,0,352,2023-12-28
Iberia Express,DUB,MAD,155,0,377,2023-12-28
Iberia,DUB,MAD,155,0,384,2023-12-28
Vueling,DUB,MAD,155,0,405,2023-12-28
British Airways,DUB,MAD,170,0,413,2023-12-28
Aer Lingus,DUB,MAD,155,0,424,2023-12-28
Aer Lingus,DUB,MAD,155,0,473,2023-12-28
British Airways,DUB,MAD,155,0,476,2023-12-28
Vueling,DUB,MAD,410,1,257,2023-12-28
Aer Lingus,DUB,MAD,155,0,251,2023-12-29
Aer Lingus,DUB,MAD,155,0,251,2023-12-29
Iberia,DUB,MAD,155,0,230,2023-12-29
Iberia Express,DUB,MAD,155,0,230,2023-12-29
Vueling,DUB,MAD,155,0,250,2023-12-29
Aer Lingus,DUB,MAD,155,0,417,2023-12-29
Iberia,DUB,MAD,155,0,421,2023-12-29
Aer Lingus,DUB,MAD,170,0,385,2023-12-29
Iberia,DUB,MAD,170,0,421,2023-12-29
British Airways,DUB,MAD,280,1,572,2023-12-29
Vueling,DUB,MAD,325,1,450,2023-12-29
British Airways,DUB,MAD,340,1,531,2023-12-29
"Aer Lingus, easyJet",DUB,MAD,320,1,443,2023-12-29
British Airways,DUB,MAD,340,1,582,2023-12-29
TAP AIR PORTUGAL,DUB,MAD,350,1,357,2023-12-29
British Airways,DUB,MAD,340,1,597,2023-12-29
Aer Lingus,DUB,MAD,155,0,349,2023-12-30
Aer Lingus,DUB,MAD,155,0,349,2023-12-30
"Aer Lingus, Air Europa",DUB,MAD,885,1,190,2023-12-30
Iberia Express,DUB,MAD,155,0,377,2023-12-30
Vueling,DUB,MAD,380,1,254,2023-12-30
Aer Lingus,DUB,MAD,170,0,385,2023-12-30
Iberia,DUB,MAD,155,0,394,2023-12-30
Iberia Express,DUB,MAD,155,0,397,2023-12-30
Vueling,DUB,MAD,155,0,405,2023-12-30
Vueling,DUB,MAD,155,0,405,2023-12-30
Iberia,DUB,MAD,155,0,417,2023-12-30
Aer Lingus,DUB,MAD,155,0,424,2023-12-30
Aer Lingus,DUB,MAD,155,0,424,2023-12-30
TAP AIR PORTUGAL,DUB,MAD,350,1,293,2023-12-30
Iberia,DUB,MAD,170,0,438,2023-12-30
TAP AIR PORTUGAL,DUB,MAD,495,1,292,2023-12-30
TAP AIR PORTUGAL,DUB,MAD,515,1,292,2023-12-30
Aer Lingus,DUB,MAD,155,0,66,2023-12-31
Iberia Express,DUB,MAD,155,0,55,2023-12-31
Iberia,DUB,MAD,155,0,56,2023-12-31
Vueling,DUB,MAD,155,0,57,2023-12-31
Aer Lingus,DUB,MAD,155,0,66,2023-12-31
British Airways,DUB,MAD,155,0,94,2023-12-31
Aer Lingus,DUB,MAD,155,0,177,2023-12-31
Iberia,DUB,MAD,155,0,206,2023-12-31
British Airways,DUB,MAD,155,0,252,2023-12-31
"Vueling, Iberia",DUB,MAD,310,1,175,2023-12-31
"Aer Lingus, Air Europa",DUB,MAD,355,1,175,2023-12-31
"Aer Lingus, Iberia Express",DUB,MAD,365,1,184,2023-12-31
"Aer Lingus, Iberia",DUB,MAD,365,1,189,2023-12-31
TAP AIR PORTUGAL,DUB,MAD,350,1,249,2023-12-31
"Aer Lingus, easyJet",DUB,MAD,310,1,246,2023-12-31
"Aer Lingus, Iberia Express",DUB,MAD,425,1,184,2023-12-31
Iberia,DUB,MAD,170,0,56,2024-01-01
Iberia,DUB,MAD,155,0,128,2024-01-01
Aer Lingus,DUB,MAD,155,0,157,2024-01-01
Iberia,DUB,MAD,155,0,160,2024-01-01
Iberia Express,DUB,MAD,155,0,162,2024-01-01
Vueling,DUB,MAD,155,0,167,2024-01-01
Aer Lingus,DUB,MAD,170,0,170,2024-01-01
Aer Lingus,DUB,MAD,155,0,194,2024-01-01
British Airways,DUB,MAD,155,0,216,2024-01-01
British Airways,DUB,MAD,155,0,252,2024-01-01
British Airways,DUB,MAD,170,0,252,2024-01-01
"Aer Lingus, Air Europa",DUB,MAD,360,1,117,2024-01-01
TAP AIR PORTUGAL,DUB,MAD,350,1,138,2024-01-01
"Aer Lingus, Air Europa",DUB,MAD,320,1,166,2024-01-01
Vueling,DUB,MAD,440,1,148,2024-01-01
Iberia,DUB,MAD,170,0,57,2024-01-02
Iberia,DUB,MAD,155,0,186,2024-01-02
Aer Lingus,DUB,MAD,170,0,193,2024-01-02
British Airways,DUB,MAD,170,0,252,2024-01-02
Iberia Express,DUB,MAD,155,0,253,2024-01-02
Vueling,DUB,MAD,155,0,277,2024-01-02
Aer Lingus,DUB,MAD,155,0,301,2024-01-02
British Airways,DUB,MAD,155,0,326,2024-01-02
Vueling,DUB,MAD,380,1,141,2024-01-02
"Vueling, Air Europa",DUB,MAD,380,1,136,2024-01-02
"Aer Lingus, Air Europa",DUB,MAD,320,1,226,2024-01-02
"Aer Lingus, Iberia Express",DUB,MAD,390,1,197,2024-01-02
"Aer Lingus, Iberia",DUB,MAD,390,1,203,2024-01-02
"Aer Lingus, Air Europa",DUB,MAD,370,1,214,2024-01-02
"Aer Lingus, Air Europa",DUB,MAD,590,1,160,2024-01-02
Aer Lingus,DUB,MAD,170,0,90,2024-01-03
Iberia,DUB,MAD,155,0,79,2024-01-03
Iberia Express,DUB,MAD,155,0,82,2024-01-03
Aer Lingus,DUB,MAD,170,0,85,2024-01-03
Aer Lingus,DUB,MAD,155,0,90,2024-01-03
Iberia,DUB,MAD,170,0,91,2024-01-03
Vueling,DUB,MAD,155,0,98,2024-01-03
British Airways,DUB,MAD,155,0,131,2024-01-03
British Airways,DUB,MAD,170,0,131,2024-01-03
Aer Lingus,DUB,MAD,155,0,170,2024-01-03
Iberia,DUB,MAD,155,0,206,2024-01-03
British Airways,DUB,MAD,155,0,252,2024-01-03
Vueling,DUB,MAD,315,1,101,2024-01-03
"Vueling, Iberia",DUB,MAD,315,1,108,2024-01-03
Vueling,DUB,MAD,430,1,99,2024-01-03
"Aer Lingus, Air Europa",DUB,MAD,370,1,116,2024-01-03
Aer Lingus,DUB,MAD,170,0,58,2024-01-04
Iberia Express,DUB,MAD,155,0,53,2024-01-04
Aer Lingus,DUB,MAD,170,0,53,2024-01-04
Iberia,DUB,MAD,155,0,56,2024-01-04
Vueling,DUB,MAD,155,0,57,2024-01-04
Iberia,DUB,MAD,170,0,56,2024-01-04
Aer Lingus,DUB,MAD,155,0,66,2024-01-04
Iberia,DUB,MAD,155,0,79,2024-01-04
Iberia Express,DUB,MAD,155,0,82,2024-01-04
Aer Lingus,DUB,MAD,155,0,85,2024-01-04
Aer Lingus,DUB,MAD,155,0,90,2024-01-04
Iberia,DUB,MAD,155,0,91,2024-01-04
British Airways,DUB,MAD,155,0,94,2024-01-04
British Airways,DUB,MAD,170,0,94,2024-01-04
Vueling,DUB,MAD,155,0,98,2024-01-04
British Airways,DUB,MAD,155,0,131,2024-01-04
Aer Lingus,DUB,MAD,155,0,66,2024-01-05
Iberia Express,DUB,MAD,155,0,49,2024-01-05
Iberia,DUB,MAD,155,0,50,2024-01-05
Vueling,DUB,MAD,155,0,57,2024-01-05
Aer Lingus,DUB,MAD,155,0,66,2024-01-05
Aer Lingus,DUB,MAD,170,0,73,2024-01-05
Aer Lingus,DUB,MAD,155,0,85,2024-01-05
Iberia,DUB,MAD,155,0,91,2024-01-05
Iberia,DUB,MAD,170,0,91,2024-01-05
British Airways,DUB,MAD,155,0,94,2024-01-05
British Airways,DUB,MAD,155,0,131,2024-01-05
British Airways,DUB,MAD,170,0,131,2024-01-05
Vueling,DUB,MAD,325,1,65,2024-01-05
"Vueling, Air Europa",DUB,MAD,325,1,75,2024-01-05
"CitizenPlane, Renfe",DUB,MAD,425,1,72,2024-01-05
KLM,DUB,MAD,310,1,122,2024-01-05
Aer Lingus,DUB,MAD,155,0,50,2024-01-06
Aer Lingus,DUB,MAD,155,0,45,2024-01-06
Aer Lingus,DUB,MAD,170,0,45,2024-01-06
Iberia Express,DUB,MAD,155,0,48,2024-01-06
Iberia Express,DUB,MAD,155,0,49,2024-01-06
Iberia,DUB,MAD,155,0,50,2024-01-06
Iberia,DUB,MAD,155,0,50,2024-01-06
Iberia,DUB,MAD,170,0,56,2024-01-06
Iberia,DUB,MAD,155,0,56,2024-01-06
Vueling,DUB,MAD,155,0,57,2024-01-06
Vueling,DUB,MAD,155,0,57,2024-01-06
Aer Lingus,DUB,MAD,155,0,66,2024-01-06
Aer Lingus,DUB,MAD,155,0,66,2024-01-06
British Airways,DUB,MAD,170,0,94,2024-01-06
British Airways,DUB,MAD,155,0,94,2024-01-06
British Airways,DUB,MAD,155,0,94,2024-01-06
"Aer Lingus, Air Europa",DUB,TFN,465,1,408,2023-12-26
"Aer Lingus, Air Europa",DUB,TFN,1585,2,325,2023-12-26
"Aer Lingus, Binter Canarias",DUB,TFN,435,1,431,2023-12-26
"Aer Lingus, Canaryfly",DUB,TFN,465,1,411,2023-12-26
Vueling,DUB,TFN,455,1,585,2023-12-26
"Aer Lingus, Binter Canarias",DUB,TFN,520,1,437,2023-12-26
Multiple Airlines,DUB,TFN,710,2,337,2023-12-26
Multiple Airlines,DUB,TFN,770,2,337,2023-12-26
"Aer Lingus, Binter Canarias",DUB,TFN,605,1,410,2023-12-26
Iberia,DUB,TFN,455,1,841,2023-12-26
Vueling,DUB,TFN,500,1,767,2023-12-26
"Aer Lingus, Binter Canarias",DUB,TFN,520,2,438,2023-12-26
"Aer Lingus, Binter Canarias",DUB,TFN,600,1,437,2023-12-26
"Aer Lingus, Air Europa",DUB,TFN,655,2,368,2023-12-26
"Aer Lingus, Binter Canarias",DUB,TFN,690,1,410,2023-12-26
"Aer Lingus, Binter Canarias",DUB,TFN,580,2,438,2023-12-26
Multiple Airlines,DUB,TFN,650,3,463,2023-12-27
Multiple Airlines,DUB,TFN,915,2,406,2023-12-27
Vueling,DUB,TFN,575,1,813,2023-12-27
Multiple Airlines,DUB,TFN,695,2,525,2023-12-27
Multiple Airlines,DUB,TFN,580,2,648,2023-12-27
Multiple Airlines,DUB,TFN,660,2,631,2023-12-27
Multiple Airlines,DUB,TFN,650,2,642,2023-12-27
Multiple Airlines,DUB,TFN,660,2,634,2023-12-27
British Airways,DUB,TFN,555,2,1029,2023-12-27
Multiple Airlines,DUB,TFN,650,2,645,2023-12-27
Vueling,DUB,TFN,865,1,459,2023-12-27
"Aer Lingus, Air Europa",DUB,TFN,835,1,464,2023-12-27
Multiple Airlines,DUB,TFN,775,2,525,2023-12-27
British Airways,DUB,TFN,610,2,1037,2023-12-27
Iberia,DUB,TFN,865,1,657,2023-12-27
British Airways,DUB,TFN,705,2,923,2023-12-27
Iberia,DUB,TFN,835,1,299,2023-12-28
Multiple Airlines,DUB,TFN,915,3,281,2023-12-28
"Aer Lingus, Canaryfly",DUB,TFN,465,1,462,2023-12-28
"Aer Lingus, Air Europa",DUB,TFN,465,1,487,2023-12-28
Vueling,DUB,TFN,555,1,486,2023-12-28
Multiple Airlines,DUB,TFN,590,2,335,2023-12-28
Vueling,DUB,TFN,500,1,684,2023-12-28
Multiple Airlines,DUB,TFN,650,2,337,2023-12-28
Iberia Express,DUB,TFN,495,1,655,2023-12-28
Multiple Airlines,DUB,TFN,710,2,337,2023-12-28
"Aer Lingus, Binter Canarias",DUB,TFN,605,1,490,2023-12-28
Iberia,DUB,TFN,495,1,688,2023-12-28
Vueling,DUB,TFN,730,1,523,2023-12-28
Iberia,DUB,TFN,555,1,856,2023-12-28
Multiple Airlines,DUB,TFN,750,2,369,2023-12-28
Iberia,DUB,TFN,555,1,729,2023-12-28
"Aer Lingus, Binter Canarias",DUB,TFN,440,1,328,2023-12-29
Multiple Airlines,DUB,TFN,2280,2,244,2023-12-29
"Aer Lingus, Binter Canarias",DUB,TFN,430,2,338,2023-12-29
"Aer Lingus, Binter Canarias",DUB,TFN,450,2,367,2023-12-29
"Aer Lingus, Binter Canarias",DUB,TFN,520,2,323,2023-12-29
"Aer Lingus, Binter Canarias",DUB,TFN,595,1,328,2023-12-29
Multiple Airlines,DUB,TFN,590,3,268,2023-12-29
Multiple Airlines,DUB,TFN,665,2,274,2023-12-29
Vueling,DUB,TFN,865,1,458,2023-12-29
Multiple Airlines,DUB,TFN,980,2,268,2023-12-29
Vueling,DUB,TFN,940,1,530,2023-12-29
British Airways,DUB,TFN,610,2,1037,2023-12-29
British Airways,DUB,TFN,670,2,1041,2023-12-29
British Airways,DUB,TFN,680,2,1044,2023-12-29
Multiple Airlines,DUB,TFN,1210,2,274,2023-12-29
Multiple Airlines,DUB,TFN,1235,2,269,2023-12-29
"Aer Lingus, Air Europa",DUB,TFN,465,1,263,2023-12-30
"Aer Lingus, Canaryfly",DUB,TFN,465,1,264,2023-12-30
"Aer Lingus, Binter Canarias",DUB,TFN,490,1,281,2023-12-30
Vueling,DUB,TFN,455,1,458,2023-12-30
"Aer Lingus, Binter Canarias",DUB,TFN,605,1,265,2023-12-30
"Aer Lingus, Binter Canarias",DUB,TFN,560,2,267,2023-12-30
"Aer Lingus, Binter Canarias",DUB,TFN,655,1,281,2023-12-30
"Aer Lingus, Binter Canarias",DUB,TFN,435,1,469,2023-12-30
"Aer Lingus, Binter Canarias",DUB,TFN,770,1,265,2023-12-30
Multiple Airlines,DUB,TFN,590,2,293,2023-12-30
Multiple Airlines,DUB,TFN,590,2,293,2023-12-30
Multiple Airlines,DUB,TFN,650,2,297,2023-12-30
"Aer Lingus, Binter Canarias",DUB,TFN,520,2,412,2023-12-30
"Aer Lingus, Binter Canarias",DUB,TFN,745,2,283,2023-12-30
"Aer Lingus, Binter Canarias",DUB,TFN,745,2,283,2023-12-30
Vueling,DUB,TFN,1040,1,168,2023-12-31
