Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
Aer Lingus,DUB,MAD,2h 35m,direct,€251,11/12/2023,05/12/2023
Iberia Express,DUB,MAD,2h 35m,direct,€242,11/12/2023,05/12/2023
"Transavia, Renfe",DUB,MAD,17h 19m,2 stops,€143,11/12/2023,05/12/2023
Vueling,DUB,MAD,2h 35m,direct,€244,11/12/2023,05/12/2023
Iberia,DUB,MAD,2h 35m,direct,€246,11/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€251,11/12/2023,05/12/2023
"Aer Lingus, Iberia Express",DUB,MAD,7h 15m,1 stop,€183,11/12/2023,05/12/2023
"Aer Lingus, Air Europa",DUB,MAD,5h 35m,1 stop,€202,11/12/2023,05/12/2023
"Aer Lingus, Iberia",DUB,MAD,7h 15m,1 stop,€189,11/12/2023,05/12/2023
"Aer Lingus, easyJet",DUB,MAD,9h 10m,1 stop,€175,11/12/2023,05/12/2023
"TAP AIR PORTUGAL, easyJet",DUB,MAD,5h 15m,1 stop,€240,11/12/2023,05/12/2023
KLM,DUB,MAD,5h 05m,1 stop,€347,11/12/2023,05/12/2023
TAP AIR PORTUGAL,DUB,MAD,5h 50m,1 stop,€290,11/12/2023,05/12/2023
TAP AIR PORTUGAL,DUB,MAD,8h 10m,1 stop,€228,11/12/2023,05/12/2023
KLM,DUB,MAD,5h 10m,1 stop,€498,11/12/2023,05/12/2023
"Aer Lingus, Air Europa",DUB,MAD,10h 05m,1 stop,€200,11/12/2023,05/12/2023
TAP AIR PORTUGAL,DUB,MAD,8h 35m,1 stop,€270,11/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 50m,direct,€201,12/12/2023,05/12/2023
Vueling,DUB,MAD,2h 35m,direct,€167,12/12/2023,05/12/2023
"Vueling, Air Europa",DUB,MAD,6h 20m,1 stop,€99,12/12/2023,05/12/2023
Iberia Express,DUB,MAD,2h 35m,direct,€170,12/12/2023,05/12/2023
Iberia,DUB,MAD,2h 35m,direct,€176,12/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 50m,direct,€194,12/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€201,12/12/2023,05/12/2023
Vueling,DUB,MAD,6h 20m,1 stop,€108,12/12/2023,05/12/2023
Iberia,DUB,MAD,2h 50m,direct,€247,12/12/2023,05/12/2023
"Aer Lingus, Iberia",DUB,MAD,5h 45m,1 stop,€131,12/12/2023,05/12/2023
"Aer Lingus, Iberia Express",DUB,MAD,6h 30m,1 stop,€123,12/12/2023,05/12/2023
"Aer Lingus, Iberia",DUB,MAD,6h 30m,1 stop,€130,12/12/2023,05/12/2023
"Vueling, Iberia",DUB,MAD,5h 45m,1 stop,€148,12/12/2023,05/12/2023
"Aer Lingus, Air Europa",DUB,MAD,5h 35m,1 stop,€187,12/12/2023,05/12/2023
KLM,DUB,MAD,5h 10m,1 stop,€331,12/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,MAD,9h 40m,1 stop,€130,12/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€117,13/12/2023,05/12/2023
Iberia Express,DUB,MAD,2h 35m,direct,€106,13/12/2023,05/12/2023
Vueling,DUB,MAD,11h 15m,1 stop,€63,13/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€117,13/12/2023,05/12/2023
Iberia,DUB,MAD,2h 35m,direct,€118,13/12/2023,05/12/2023
Vueling,DUB,MAD,2h 35m,direct,€150,13/12/2023,05/12/2023
Vueling,DUB,MAD,7h 10m,1 stop,€94,13/12/2023,05/12/2023
"Vueling, Air Europa",DUB,MAD,11h 15m,1 stop,€72,13/12/2023,05/12/2023
KLM,DUB,MAD,5h 05m,1 stop,€198,13/12/2023,05/12/2023
KLM,DUB,MAD,5h 20m,1 stop,€235,13/12/2023,05/12/2023
"Vueling, Air Europa",DUB,MAD,6h 20m,1 stop,€151,13/12/2023,05/12/2023
KLM,DUB,MAD,6h 15m,1 stop,€208,13/12/2023,05/12/2023
KLM,DUB,MAD,5h 10m,1 stop,€358,13/12/2023,05/12/2023
Lufthansa,DUB,MAD,5h 55m,1 stop,€370,13/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,MAD,9h 40m,1 stop,€121,13/12/2023,05/12/2023
Multiple Airlines,DUB,MAD,7h 55m,2 stops,€119,13/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 50m,direct,€201,14/12/2023,05/12/2023
Iberia,DUB,MAD,2h 35m,direct,€177,14/12/2023,05/12/2023
"Vueling, Air Europa",DUB,MAD,10h 50m,1 stop,€75,14/12/2023,05/12/2023
Vueling,DUB,MAD,6h 45m,1 stop,€78,14/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 50m,direct,€194,14/12/2023,05/12/2023
Iberia Express,DUB,MAD,2h 35m,direct,€203,14/12/2023,05/12/2023
Vueling,DUB,MAD,2h 35m,direct,€211,14/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€244,14/12/2023,05/12/2023
Iberia,DUB,MAD,2h 35m,direct,€250,14/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€251,14/12/2023,05/12/2023
Iberia,DUB,MAD,2h 50m,direct,€250,14/12/2023,05/12/2023
Iberia,DUB,MAD,2h 35m,direct,€256,14/12/2023,05/12/2023
"Vueling, Iberia",DUB,MAD,5h 20m,1 stop,€125,14/12/2023,05/12/2023
Vueling,DUB,MAD,10h 50m,1 stop,€83,14/12/2023,05/12/2023
"Aer Lingus, Iberia",DUB,MAD,5h 45m,1 stop,€139,14/12/2023,05/12/2023
Iberia Express,DUB,MAD,2h 35m,direct,€377,14/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€157,15/12/2023,05/12/2023
Iberia Express,DUB,MAD,2h 35m,direct,€127,15/12/2023,05/12/2023
"Aer Lingus, Iberia Express",DUB,MAD,20h 45m,1 stop,€112,15/12/2023,05/12/2023
Vueling,DUB,MAD,2h 35m,direct,€128,15/12/2023,05/12/2023
Iberia,DUB,MAD,2h 35m,direct,€136,15/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€157,15/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€324,15/12/2023,05/12/2023
Iberia,DUB,MAD,2h 35m,direct,€327,15/12/2023,05/12/2023
Vueling,DUB,MAD,5h 25m,1 stop,€139,15/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 50m,direct,€384,15/12/2023,05/12/2023
Iberia,DUB,MAD,2h 50m,direct,€435,15/12/2023,05/12/2023
"Vueling, Air Europa",DUB,MAD,5h 25m,1 stop,€130,15/12/2023,05/12/2023
"Vueling, Air Europa",DUB,MAD,6h 20m,1 stop,€172,15/12/2023,05/12/2023
"Vueling, Iberia",DUB,MAD,7h 55m,1 stop,€144,15/12/2023,05/12/2023
"Aer Lingus, Iberia Express",DUB,MAD,8h 15m,1 stop,€150,15/12/2023,05/12/2023
"Aer Lingus, easyJet",DUB,MAD,6h 55m,1 stop,€168,15/12/2023,05/12/2023
"Vueling, Iberia",DUB,MAD,6h 25m,1 stop,€188,15/12/2023,05/12/2023
